model,fp_types,test_r2
xgb,AtomPairFP,0.627669366
xgb,Autocorr,0.571377419
xgb,AvalonFP,0.639662642
xgb,Charge,0.558440527
xgb,Connectivity,0.489944432
xgb,Constitution,0.540198075
xgb,Estate,0.582831035
xgb,EstateFP,0.385748768
xgb,Fragment,0.505006833
xgb,InfoContent,0.350330939
xgb,Kappa,0.234944213
xgb,MACCSFP,0.553478987
xgb,MAP4,0.603035347
xgb,MHFP6,0.562843654
xgb,MOE,0.588297589
xgb,Matrix,0.431938502
xgb,MorganFP,0.624450969
xgb,Path,0.384990567
xgb,PharmacoErGFP,0.498179772
xgb,PharmacoPFP,0.480696678
xgb,Property,0.427120619
xgb,PubChemFP,0.591032146
xgb,RDkitFP,0.625464695
xgb,Topology,0.343830201
xgb,TorsionFP,0.616197382
